DesignName,ParticipantID,TrialID,Block1,ID
Experiment 3: Outer,1,1,1,Quadratic
Experiment 3: Outer,1,2,2,Linear
Experiment 3: Outer,1,3,3,Trigonometric
Experiment 3: Outer,2,4,1,Trigonometric
Experiment 3: Outer,2,5,2,Quadratic
Experiment 3: Outer,2,6,3,Linear
Experiment 3: Outer,3,7,1,Linear
Experiment 3: Outer,3,8,2,Trigonometric
Experiment 3: Outer,3,9,3,Quadratic
Experiment 3: Outer,4,10,1,Quadratic
Experiment 3: Outer,4,11,2,Linear
Experiment 3: Outer,4,12,3,Trigonometric
Experiment 3: Outer,5,13,1,Trigonometric
Experiment 3: Outer,5,14,2,Quadratic
Experiment 3: Outer,5,15,3,Linear
Experiment 3: Outer,6,16,1,Linear
Experiment 3: Outer,6,17,2,Trigonometric
Experiment 3: Outer,6,18,3,Quadratic
Experiment 3: Outer,7,19,1,Quadratic
Experiment 3: Outer,7,20,2,Linear
Experiment 3: Outer,7,21,3,Trigonometric
Experiment 3: Outer,8,22,1,Trigonometric
Experiment 3: Outer,8,23,2,Quadratic
Experiment 3: Outer,8,24,3,Linear
Experiment 3: Outer,9,25,1,Linear
Experiment 3: Outer,9,26,2,Trigonometric
Experiment 3: Outer,9,27,3,Quadratic
Experiment 3: Outer,10,28,1,Quadratic
Experiment 3: Outer,10,29,2,Linear
Experiment 3: Outer,10,30,3,Trigonometric
Experiment 3: Outer,11,31,1,Trigonometric
Experiment 3: Outer,11,32,2,Quadratic
Experiment 3: Outer,11,33,3,Linear
Experiment 3: Outer,12,34,1,Linear
Experiment 3: Outer,12,35,2,Trigonometric
Experiment 3: Outer,12,36,3,Quadratic
Experiment 3: Outer,13,37,1,Quadratic
Experiment 3: Outer,13,38,2,Linear
Experiment 3: Outer,13,39,3,Trigonometric
Experiment 3: Outer,14,40,1,Trigonometric
Experiment 3: Outer,14,41,2,Quadratic
Experiment 3: Outer,14,42,3,Linear
Experiment 3: Outer,15,43,1,Linear
Experiment 3: Outer,15,44,2,Trigonometric
Experiment 3: Outer,15,45,3,Quadratic
